estimand_id	gene_symbol	uniprot_accession	strict_global_zero_status	strict_pdb_id	strict_coordinate_sha256	site_unoccupied_status	site_unoccupied_pdb_id	site_unoccupied_coordinate_sha256	site_unoccupied_is_strict_global_zero	site_unoccupied_minimum_foreign_distance_angstrom	site_unoccupied_sidechain_coverage	expanded_coordinate_attempt_cap	expanded_search_truncated
UniProt:P07333:582-910|KLIFS:449:positions1-85	CSF1R	P07333	PASS	2OGV	34b5a74b923bff5729b927f1dc44eb581e0d228582b61a2c97f9366e120df0ce	PASS	2OGV	34b5a74b923bff5729b927f1dc44eb581e0d228582b61a2c97f9366e120df0ce	true		0.9882352941176471	25	false
UniProt:P07947:277-530|KLIFS:463:positions1-85	YES1	P07947	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P07948:247-501|KLIFS:467:positions1-85	LYN	P07948	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P07949:724-1016|KLIFS:454:positions1-85	RET	P07949	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P08069:999-1274|KLIFS:432:positions1-85	IGF1R	P08069	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P08581:1078-1345|KLIFS:446:positions1-85	MET	P08581	PASS	2G15	5731b14d713331acb98bcb784518210ebdf3cd8ac0c1cd3e92b65bdd2f1149a2	PASS	2G15	5731b14d713331acb98bcb784518210ebdf3cd8ac0c1cd3e92b65bdd2f1149a2	true		1.0	25	false
UniProt:P08631:262-515|KLIFS:465:positions1-85	HCK	P08631	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P08922:1945-2222|KLIFS:458:positions1-85	ROS1	P08922	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P09619:600-962|KLIFS:453:positions1-85	PDGFRB	P09619	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P09769:263-516|KLIFS:460:positions1-85	FGR	P09769	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P0C1S8:212-486|KLIFS:335:positions1-85	WEE2	P0C1S8	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P10721:589-937|KLIFS:451:positions1-85	KIT	P10721	PASS	1T45	386f36675d4cb44bda31c51443b8622b3ef7beb410b11d6e0a94e652449642e9	PASS	1T45	386f36675d4cb44bda31c51443b8622b3ef7beb410b11d6e0a94e652449642e9	true		1.0	25	false
UniProt:P11309:38-290|KLIFS:160:positions1-85	PIM1	P11309	PASS	1XQZ	4938a0b7c4cf65d5ab3124bc6045815955996e6b71d376c06d61be78d7fed6ae	PASS	1XQZ	4938a0b7c4cf65d5ab3124bc6045815955996e6b71d376c06d61be78d7fed6ae	true		1.0	25	false
UniProt:P11362:478-767|KLIFS:428:positions1-85	FGFR1	P11362	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P12931:270-523|KLIFS:462:positions1-85	SRC	P12931	PASS	1FMK	75f0db744130b96859eb5bf71932f424802ccaa4562ebc7718b9ad4b23782421	PASS	1FMK	75f0db744130b96859eb5bf71932f424802ccaa4562ebc7718b9ad4b23782421	true		1.0	25	false
UniProt:P14616:979-1254|KLIFS:434:positions1-85	INSRR	P14616	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P15056:457-717|KLIFS:509:positions1-85	BRAF	P15056	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P15735:24-291|KLIFS:159:positions1-85	PHKG2	P15735	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P16234:593-954|KLIFS:452:positions1-85	PDGFRA	P16234	PASS	8PQJ	8789d63ed9e199c12badbe2b699420fada710a391955305dfd12c05d5fd14e75	PASS	8PQJ	8789d63ed9e199c12badbe2b699420fada710a391955305dfd12c05d5fd14e75	true		1.0	25	false
UniProt:P16591:563-816|KLIFS:426:positions1-85	FER	P16591	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P17612:44-298|KLIFS:28:positions1-85	PRKACA	P17612	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P17948:827-1158|KLIFS:483:positions1-85	FLT1	P17948	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P19525:267-538|KLIFS:310:positions1-85	EIF2AK2	P19525	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P19784:40-325|KLIFS:222:positions1-85	CSNK2A2	P19784	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P21709:624-884|KLIFS:411:positions1-85	EPHA1	P21709	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P21802:481-770|KLIFS:430:positions1-85	FGFR2	P21802	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P21860:709-966|KLIFS:408:positions1-85	ERBB3	P21860	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P22455:467-755|KLIFS:431:positions1-85	FGFR4	P22455	NO_QUALIFIED_VIEW			PASS	4TYG	bef7217bf776f98e8bd07fe65a1062078c6c13a562c01e253652666ad641fd6d	false	13.050482941255467	1.0	25	false
UniProt:P22607:472-761|KLIFS:429:positions1-85	FGFR3	P22607	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P22694:44-298|KLIFS:29:positions1-85	PRKACB	P22694	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P23443:91-352|KLIFS:51:positions1-85	RPS6KB1	P23443	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P23458:875-1153|KLIFS:435:positions1-85	JAK1	P23458	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P24723:355-614|KLIFS:39:positions1-85	PRKCH	P24723	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P24941:4-286|KLIFS:198:positions1-85	CDK2	P24941	PASS	4EK3	8251fce2eaa7274f197349d00351b48a49c7c260687ea0b3e6e1bc50dc287265	PASS	4EK3	8251fce2eaa7274f197349d00351b48a49c7c260687ea0b3e6e1bc50dc287265	true		1.0	25	false
UniProt:P27037:192-485|KLIFS:523:positions1-85	ACVR2A	P27037	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P27361:42-330|KLIFS:240:positions1-85	MAPK3	P27361	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P27448:56-307|KLIFS:126:positions1-85	MARK3	P27448	PASS	2QNJ	e857a33751e8f77a8e9e6c0fee54d2eb5901969c2faa769153f963f0a1465980	PASS	2QNJ	e857a33751e8f77a8e9e6c0fee54d2eb5901969c2faa769153f963f0a1465980	true	16.094178605943206	0.9647058823529412	25	false
UniProt:P28482:25-313|KLIFS:239:positions1-85	MAPK1	P28482	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P29317:613-875|KLIFS:410:positions1-85	EPHA2	P29317	PASS	4P2K	176bc0d5690e2dd6d13fe58cb15edd9c7850655f463d842d4cd281f72a08b626	PASS	4P2K	176bc0d5690e2dd6d13fe58cb15edd9c7850655f463d842d4cd281f72a08b626	true		1.0	25	false
UniProt:P29320:621-882|KLIFS:412:positions1-85	EPHA3	P29320	PASS	2GSF	aa2dbf58a98512819c6c56b8b25a4f61a53e30b160e4205ad4c34f7a5f4dae46	PASS	2GSF	aa2dbf58a98512819c6c56b8b25a4f61a53e30b160e4205ad4c34f7a5f4dae46	true		1.0	25	false
UniProt:P29322:635-896|KLIFS:416:positions1-85	EPHA8	P29322	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P29323:621-884|KLIFS:418:positions1-85	EPHB2	P29323	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P29376:510-786|KLIFS:397:positions1-85	LTK	P29376	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P29597:897-1176|KLIFS:441:positions1-85	TYK2	P29597	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P30291:299-569|KLIFS:333:positions1-85	WEE1	P30291	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P30530:536-807|KLIFS:398:positions1-85	AXL	P30530	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P31749:150-408|KLIFS:1:positions1-85	AKT1	P31749	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P31751:152-409|KLIFS:2:positions1-85	AKT2	P31751	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P32298:187-449|KLIFS:13:positions1-85	GRK4	P32298	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P33981:525-791|KLIFS:326:positions1-85	TTK	P33981	PASS	3DBQ	a71515656248fb7df7c97743c678504f5be1e2037eef0562e6b8217bea93a291	PASS	3DBQ	a71515656248fb7df7c97743c678504f5be1e2037eef0562e6b8217bea93a291	true		1.0	25	false
UniProt:P35590:839-1118|KLIFS:478:positions1-85	TIE1	P35590	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P35916:845-1173|KLIFS:484:positions1-85	FLT4	P35916	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P35968:834-1162|KLIFS:485:positions1-85	KDR	P35968	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P36507:72-369|KLIFS:384:positions1-85	MAP2K2	P36507	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P36888:610-943|KLIFS:450:positions1-85	FLT3	P36888	PASS	1RJB	6d7c0f901599a79ac0d0a70777a1b763403e687aa8767ba87d79d3d29db59a53	PASS	1RJB	6d7c0f901599a79ac0d0a70777a1b763403e687aa8767ba87d79d3d29db59a53	true		1.0	25	false
UniProt:P36894:234-525|KLIFS:519:positions1-85	BMPR1A	P36894	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P36896:207-497|KLIFS:517:positions1-85	ACVR1B	P36896	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P36897:205-495|KLIFS:521:positions1-85	TGFBR1	P36897	PASS	5E8S	68e0cbf60a4969a000d0a2c8eada2a6a5b0c55edc50493895cc15a66cc399fcd	PASS	5E8S	68e0cbf60a4969a000d0a2c8eada2a6a5b0c55edc50493895cc15a66cc399fcd	true		0.9882352941176471	25	false
UniProt:P37023:202-492|KLIFS:518:positions1-85	ACVRL1	P37023	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P37173:244-544|KLIFS:527:positions1-85	TGFBR2	P37173	NO_QUALIFIED_VIEW			PASS	5E8V	93fb495e6db8d5a47a92f07a98e3843d3ed5e11caca8cb7c6465bd56f8af640d	false	16.871525123710658	0.9764705882352941	25	false
UniProt:P41240:195-449|KLIFS:402:positions1-85	CSK	P41240	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P41743:254-522|KLIFS:40:positions1-85	PRKCI	P41743	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P42680:370-623|KLIFS:475:positions1-85	TEC	P42680	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P42681:271-527|KLIFS:476:positions1-85	TXK	P42681	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P42684:288-539|KLIFS:393:positions1-85	ABL2	P42684	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P42685:234-491|KLIFS:459:positions1-85	FRK	P42685	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P43403:338-600|KLIFS:471:positions1-85	ZAP70	P43403	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P43405:371-631|KLIFS:470:positions1-85	SYK	P43405	PASS	1XBA	0807de62ea0b38087b930a62262b7a507de665299ab415fef8d999bd4e2d5163	PASS	1XBA	0807de62ea0b38087b930a62262b7a507de665299ab415fef8d999bd4e2d5163	true		0.9294117647058824	25	false
UniProt:P45983:26-321|KLIFS:245:positions1-85	MAPK8	P45983	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P45984:26-321|KLIFS:246:positions1-85	MAPK9	P45984	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P45985:102-367|KLIFS:387:positions1-85	MAP2K4	P45985	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P46734:64-325|KLIFS:385:positions1-85	MAP2K3	P46734	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P48729:17-285|KLIFS:184:positions1-85	CSNK1A1	P48729	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P48730:9-277|KLIFS:186:positions1-85	CSNK1D	P48730	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P49137:64-325|KLIFS:150:positions1-85	MAPKAPK2	P49137	PASS	8XX1	de0e8bb0d5b9a532f4131b145d2d90234eb09b1adc2e79380412e574d79affe0	PASS	8XX1	de0e8bb0d5b9a532f4131b145d2d90234eb09b1adc2e79380412e574d79affe0	true		1.0	25	false
UniProt:P49336:21-335|KLIFS:205:positions1-85	CDK8	P49336	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P49674:9-277|KLIFS:187:positions1-85	CSNK1E	P49674	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P49759:161-477|KLIFS:223:positions1-85	CLK1	P49759	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P49760:163-479|KLIFS:224:positions1-85	CLK2	P49760	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P49761:156-472|KLIFS:225:positions1-85	CLK3	P49761	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P49840:119-403|KLIFS:237:positions1-85	GSK3A	P49840	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P49841:56-340|KLIFS:238:positions1-85	GSK3B	P49841	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P50613:12-295|KLIFS:204:positions1-85	CDK7	P50613	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P50750:19-315|KLIFS:207:positions1-85	CDK9	P50750	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P51451:241-494|KLIFS:464:positions1-85	BLK	P51451	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P51617:212-521|KLIFS:486:positions1-85	IRAK1	P51617	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P51812:68-327|KLIFS:55:positions1-85	RPS6KA3	P51812	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P51813:417-675|KLIFS:472:positions1-85	BMX	P51813	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P51817:49-303|KLIFS:31:positions1-85	PRKX	P51817	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P52333:822-1111|KLIFS:437:positions1-85	JAK3	P52333	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P52564:53-314|KLIFS:386:positions1-85	MAP2K6	P52564	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P53350:53-305|KLIFS:311:positions1-85	PLK1	P53350	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P53355:13-275|KLIFS:140:positions1-85	DAPK1	P53355	PASS	1JKS	454708655c739e77e047f7b9ccd9759ada13cda4f5f3e41cbdf4c1ab9fe03d90	PASS	1JKS	454708655c739e77e047f7b9ccd9759ada13cda4f5f3e41cbdf4c1ab9fe03d90	true		1.0	25	false
UniProt:P53667:339-604|KLIFS:490:positions1-85	LIMK1	P53667	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P53671:331-608|KLIFS:491:positions1-85	LIMK2	P53671	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P53778:27-311|KLIFS:252:positions1-85	MAPK12	P53778	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P53779:64-359|KLIFS:247:positions1-85	MAPK10	P53779	PASS	4KKG	18a3d6c871eed5947f42a8d3afb0fc68bd363bfa8395413f714a30910c8cc4b3	PASS	4KKG	18a3d6c871eed5947f42a8d3afb0fc68bd363bfa8395413f714a30910c8cc4b3	true		1.0	25	false
UniProt:P54646:16-268|KLIFS:118:positions1-85	PRKAA2	P54646	PASS	2H6D	ba48d69961b0f14b027e165b43dfe6085831889ac5f7d159ac2fefba37424627	PASS	2H6D	ba48d69961b0f14b027e165b43dfe6085831889ac5f7d159ac2fefba37424627	true		1.0	25	false
UniProt:P54753:633-896|KLIFS:419:positions1-85	EPHB3	P54753	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P54756:675-936|KLIFS:414:positions1-85	EPHA5	P54756	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P54760:615-899|KLIFS:420:positions1-85	EPHB4	P54760	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P54762:619-882|KLIFS:417:positions1-85	EPHB1	P54762	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P54764:621-882|KLIFS:413:positions1-85	EPHA4	P54764	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P57059:27-278|KLIFS:135:positions1-85	SIK1	P57059	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P68400:39-324|KLIFS:221:positions1-85	CSNK2A1	P68400	PASS	1NA7	0f3cefb0dfc0d7689180ae20d0f25f611c846b888b4bd9b714f563ccb01f455c	PASS	1NA7	0f3cefb0dfc0d7689180ae20d0f25f611c846b888b4bd9b714f563ccb01f455c	true		1.0	25	false
UniProt:P78362:81-684|KLIFS:257:positions1-85	SRPK2	P78362	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P78368:46-316|KLIFS:188:positions1-85	CSNK1G2	P78368	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P80192:144-412|KLIFS:500:positions1-85	MAP3K9	P80192	PASS	4UY9	171edb6458eeeb2fa81893c60c9c6d83a31d049522e6aaccfcdb53fcacd51a31	PASS	4UY9	171edb6458eeeb2fa81893c60c9c6d83a31d049522e6aaccfcdb53fcacd51a31	true	13.689422120747102	0.9882352941176471	25	false
UniProt:Q00526:4-286|KLIFS:199:positions1-85	CDK3	Q00526	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
